Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),76.32,4.22,86.71,381521.67,42.91,67.88,74.43,76.76,77.88,78.74,79.33,79.62,80.70,6.96
Error Input Sequence Length (tokens),684.00,684.00,684.00,684.00,684.00,684.00,684.00,684.00,684.00,684.00,684.00,684.00,684.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,438.65,2.00,500.00,2192828.00,14.00,89.90,204.00,498.00,500.00,500.00,500.00,500.00,500.00,131.21
HTTP Chunks Sent,1.00,1.00,1.00,4999.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,1.80,133.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.14
HTTP Connection Overhead (ms),0.03,0.00,1.80,133.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.14
HTTP Connection Reused (ratio),0.95,0.00,1.00,4765.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.21
HTTP Data Received (KB),111.49,0.81,130.52,557326.41,3.84,23.02,52.18,126.26,126.85,127.06,127.26,127.38,127.59,33.24
HTTP Data Sent (KB),1.12,0.13,8.95,5600.54,0.14,0.15,0.17,0.21,0.59,1.80,2.86,3.37,4.10,1.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5688.99,122.98,11634.25,28439278.47,297.39,1241.25,2727.90,6241.56,6362.41,6448.74,6528.20,6587.41,8260.77,1704.88
HTTP Receiving (ms),5515.14,11.88,10835.53,27570179.50,166.23,1128.60,2587.78,6107.67,6218.40,6291.84,6357.14,6403.01,6981.72,1660.47
HTTP Sending (ms),0.17,0.09,2.12,871.10,0.11,0.12,0.13,0.13,0.14,0.15,0.18,0.41,0.97,0.17
HTTP Total Time (ms),5689.02,122.98,11635.53,28439411.62,297.39,1241.54,2727.90,6241.56,6362.41,6448.74,6528.30,6587.41,8262.24,1704.91
HTTP Waiting (TTFB) (ms),173.68,58.76,5041.52,868227.86,91.01,96.31,100.96,111.43,128.58,182.21,209.39,245.55,1426.61,261.55
Input Sequence Length (tokens),225.45,4.00,1024.00,1127045.00,5.00,7.00,10.00,20.00,105.00,375.00,635.20,767.00,878.00,249.06
Inter Chunk Latency (ms),12.66,0.00,1036.79,27554000.51,7.27,8.60,9.73,11.24,12.43,13.72,15.49,16.66,21.72,5.52
Inter Token Latency (ms),12.62,9.40,94.02,63001.95,12.09,12.29,12.36,12.43,12.52,12.66,12.80,12.89,14.24,1.35
OSL Mismatch Diff % (%),1273.94,-99.49,12400.00,6368442.86,-82.61,-34.81,-15.97,36.61,167.38,1512.90,4336.16,6150.00,9900.00,2278.28
Output Sequence Length (tokens),438.62,1.00,502.00,2192649.00,13.00,88.90,203.80,499.00,500.00,500.00,500.00,500.00,500.00,131.61
Output Token Count (tokens),438.62,1.00,502.00,2192649.00,13.00,88.90,203.80,499.00,500.00,500.00,500.00,500.00,500.00,131.61
Output Token Throughput Per User (tokens/sec/user),79.47,10.64,106.41,396691.73,70.21,77.60,78.13,78.98,79.87,80.45,80.88,81.33,82.68,2.89
Prefill Throughput Per User (tokens/sec/user),1366.37,2.35,5586.23,6830495.28,27.10,53.60,76.86,160.07,800.38,2570.11,3398.27,3787.12,4420.73,1340.79
Request Latency (ms),5685.82,112.10,11634.38,28423423.04,285.42,1228.47,2714.52,6237.19,6362.54,6448.75,6528.27,6587.33,8248.22,1709.21
Time to First Output Token (ms),173.92,60.72,5043.24,869422.53,91.21,96.50,101.20,111.64,128.79,182.42,209.57,245.71,1427.29,261.66
Time to First Token (ms),173.92,60.72,5043.24,869422.53,91.21,96.50,101.20,111.64,128.79,182.42,209.57,245.71,1427.29,261.66
Time to Second Token (ms),15.98,0.00,1036.79,79795.58,7.01,8.32,9.56,11.10,12.28,13.55,15.07,16.20,20.58,57.38

Metric,Value
Benchmark Duration (sec),258.33
Error Request Count,1.00
OSL Mismatch Count,4856.00
Output Token Throughput (tokens/sec),8487.76
Request Count,4999.00
Request Throughput (requests/sec),19.35
Total Error Input Sequence Length (tokens),684.00
Total Input Sequence Length (tokens),1127045.00
Total Output Sequence Length (tokens),2192649.00
Total Output Tokens (tokens),2192649.00
Total Token Throughput (tokens/sec),12850.56


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
