metric,role_dp,unit,count,avg,p50,p90,p95,p99,min,max
engine_step_ms,decode_dp0,ms,8480,13.67230106074855,14.059305191040039,14.414310455322266,14.533042907714844,19.969463348388672,0.0040531158447265625,43.02716255187988
engine_step_ms,decode_dp1,ms,8480,13.691089400705302,14.05954360961914,14.409065246582031,14.525413513183594,19.884109497070312,0.004291534423828125,43.16210746765137
engine_step_ms,prefill_dp0,ms,11019,2.784011909020273,0.005245208740234375,0.3273487091064453,19.69742774963379,70.94383239746094,0.003814697265625,87.61072158813477
engine_step_ms,prefill_dp1,ms,11016,2.3053491470514214,0.004291534423828125,0.21719932556152344,19.109487533569336,68.99762153625488,0.0030994415283203125,88.7148380279541
forward_ms,decode_dp0,ms,8421,0.30079545919239176,0.316619873046875,0.3409385681152344,0.3502368927001953,0.38552284240722656,0.13709068298339844,0.8900165557861328
forward_ms,decode_dp1,ms,8439,0.2372345945283917,0.2257823944091797,0.2903938293457031,0.3094673156738281,0.3819465637207031,0.1621246337890625,2.1741390228271484
forward_ms,prefill_dp0,ms,1015,21.604237767863157,10.518550872802734,64.91279602050781,66.00308418273926,68.64094734191895,6.953954696655273,74.21040534973145
forward_ms,prefill_dp1,ms,872,20.036081928725636,10.368585586547852,62.79182434082031,64.38207626342773,68.06468963623047,6.737709045410156,81.25925064086914
batch_n_reqs,decode_dp0,requests,8421,88.96033725210782,100.0,110.0,112.0,116.0,1.0,120.0
batch_n_reqs,decode_dp1,requests,8439,87.68538926413082,99.0,109.0,112.0,115.0,1.0,117.0
batch_n_reqs,prefill_dp0,requests,1015,1.0600985221674877,1.0,1.0,2.0,2.0,1.0,3.0
batch_n_reqs,prefill_dp1,requests,872,1.0596330275229358,1.0,1.0,2.0,2.0,1.0,3.0
batch_n_sched_tokens,decode_dp0,tokens,8421,88.96033725210782,100.0,110.0,112.0,116.0,1.0,120.0
batch_n_sched_tokens,decode_dp1,tokens,8439,87.68538926413082,99.0,109.0,112.0,115.0,1.0,117.0
batch_n_sched_tokens,prefill_dp0,tokens,1015,263.50344827586207,173.0,676.0,782.0,948.0,12.0,1788.0
batch_n_sched_tokens,prefill_dp1,tokens,872,236.94036697247705,131.0,627.0,777.0,926.0,12.0,1340.0
per_request_scheduled_tokens,decode_dp0,tokens,749135,1.0,1.0,1.0,1.0,1.0,1.0,1.0
per_request_scheduled_tokens,decode_dp1,tokens,739977,1.0,1.0,1.0,1.0,1.0,1.0,1.0
per_request_scheduled_tokens,prefill_dp0,tokens,1076,248.56505576208178,142.0,655.0,776.0,854.0,12.0,1011.0
per_request_scheduled_tokens,prefill_dp1,tokens,924,223.6060606060606,113.0,608.0,775.0,906.0,12.0,1030.0
per_request_step_counts,decode_dp0,steps,1010,741.7178217821782,952.0,1000.0,1000.0,1000.0,3.0,1000.0
per_request_step_counts,decode_dp1,steps,990,747.4515151515152,955.0,1000.0,1000.0,1000.0,3.0,1000.0
per_request_step_counts,prefill_dp0,steps,1076,1.0,1.0,1.0,1.0,1.0,1.0,1.0
per_request_step_counts,prefill_dp1,steps,924,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kv_transfer_bytes,decode_dp0,bytes,1010,22990288.34851485,12582912.0,61341696.0,77070336.0,88080384.0,1572864.0,102236160.0
kv_transfer_bytes,decode_dp1,bytes,990,25102273.939393938,14155776.0,66060288.0,77070336.0,86507520.0,1572864.0,100663296.0
kv_transfer_ms,decode_dp0,ms,1010,12.03560198019802,9.688,28.539,32.027,37.351,0.434,45.651
kv_transfer_ms,decode_dp1,ms,990,18.82650606060606,14.484,31.737,35.011,43.146,0.431,49.655
