metric,role_dp,unit,count,avg,p50,p90,p95,p99,min,max
engine_step_ms,decode_dp0,ms,8512,13.623655374561038,13.831853866577148,14.142274856567383,14.251708984375,22.02916145324707,0.0050067901611328125,36.064863204956055
engine_step_ms,decode_dp1,ms,8514,13.61537427725242,13.828754425048828,14.142274856567383,14.246463775634766,21.998167037963867,0.004291534423828125,36.03076934814453
engine_step_ms,prefill_dp0,ms,10901,2.8667756367490855,0.0045299530029296875,0.3058910369873047,19.788742065429688,75.71792602539062,0.00286102294921875,90.64602851867676
engine_step_ms,prefill_dp1,ms,10895,2.360387984193099,0.0054836273193359375,0.2467632293701172,19.049882888793945,72.88646697998047,0.0030994415283203125,91.07494354248047
forward_ms,decode_dp0,ms,8501,0.3439702786861932,0.33473968505859375,0.39386749267578125,0.42128562927246094,0.5047321319580078,0.2396106719970703,1.03759765625
forward_ms,decode_dp1,ms,8494,0.32739906499659227,0.3273487091064453,0.3783702850341797,0.40411949157714844,0.46515464782714844,0.22554397583007812,0.812530517578125
forward_ms,prefill_dp0,ms,1012,22.573233828714244,10.505914688110352,70.0376033782959,71.14076614379883,73.57358932495117,7.196903228759766,83.32538604736328
forward_ms,prefill_dp1,ms,857,20.78257725425195,10.367155075073242,67.33083724975586,68.3908462524414,70.11008262634277,7.122039794921875,83.18209648132324
batch_n_reqs,decode_dp0,requests,8501,87.90377602634985,98.0,109.0,111.0,115.0,1.0,117.0
batch_n_reqs,decode_dp1,requests,8494,87.25947727807865,98.0,109.0,110.0,113.0,1.0,119.0
batch_n_reqs,prefill_dp0,requests,1012,1.0691699604743083,1.0,1.0,2.0,2.0,1.0,3.0
batch_n_reqs,prefill_dp1,requests,857,1.0711785297549592,1.0,1.0,2.0,2.0,1.0,3.0
batch_n_sched_tokens,decode_dp0,tokens,8501,87.90377602634985,98.0,109.0,111.0,115.0,1.0,117.0
batch_n_sched_tokens,decode_dp1,tokens,8494,87.25947727807865,98.0,109.0,110.0,113.0,1.0,119.0
batch_n_sched_tokens,prefill_dp0,tokens,1012,261.7677865612648,161.0,687.0,784.0,981.0,12.0,1365.0
batch_n_sched_tokens,prefill_dp1,tokens,857,244.05950991831972,152.0,650.0,779.0,980.0,12.0,1121.0
per_request_scheduled_tokens,decode_dp0,tokens,747270,1.0,1.0,1.0,1.0,1.0,1.0,1.0
per_request_scheduled_tokens,decode_dp1,tokens,741182,1.0,1.0,1.0,1.0,1.0,1.0,1.0
per_request_scheduled_tokens,prefill_dp0,tokens,1082,244.83271719038817,133.0,655.0,776.0,892.0,12.0,1030.0
per_request_scheduled_tokens,prefill_dp1,tokens,918,227.84204793028323,125.0,617.0,774.0,870.0,12.0,1018.0
per_request_step_counts,decode_dp0,steps,1004,744.292828685259,934.0,1000.0,1000.0,1000.0,5.0,1000.0
per_request_step_counts,decode_dp1,steps,996,744.1586345381526,943.0,1000.0,1000.0,1000.0,3.0,1000.0
per_request_step_counts,prefill_dp0,steps,1082,1.0,1.0,1.0,1.0,1.0,1.0,1.0
per_request_step_counts,prefill_dp1,steps,918,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kv_transfer_bytes,decode_dp0,bytes,1004,23936044.876494024,14155776.0,62914560.0,77070336.0,88080384.0,1572864.0,102236160.0
kv_transfer_bytes,decode_dp1,bytes,996,24136198.1686747,14155776.0,66060288.0,77070336.0,88080384.0,1572864.0,100663296.0
kv_transfer_ms,decode_dp0,ms,1004,18.336762948207173,14.362,30.969,34.532,41.266,0.361,48.222
kv_transfer_ms,decode_dp1,ms,996,18.41581526104418,14.258,31.715,35.425,42.2,0.497,55.283
