dp_rank,req_id,remote_engine,remote_rank,n_blocks,recv_start_wall,recv_done_wall,latency_ms
0,chatcmpl-7a8e3ea5-00b4-4cb9-b62a-f798b875b786-8c0a31e2,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,2,1779995686.9813116,1779995686.9814358,0.12421607971191406
1,chatcmpl-0b06abb5-888a-4a1c-9f7d-b4c9efe29077-92580bca,27a16766-d861-43d6-8a84-7ce0ecba850d_dp1,0,37,1779995687.062749,1779995687.0723202,9.571313858032227
0,chatcmpl-5b03b18b-ca63-4b4e-9c4d-ffd66ccb671d-859654dc,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,1,1779995687.0755296,1779995687.0758326,0.30303001403808594
1,chatcmpl-b58bb5f6-b53e-43c4-8605-9eb757dfa7ea-9471ea7b,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,25,1779995687.0884001,1779995687.0964398,8.039712905883789
0,chatcmpl-299e2d20-e9ad-4b6b-a4b0-7f4baf586339-9327ea85,27a16766-d861-43d6-8a84-7ce0ecba850d_dp1,0,17,1779995687.1037498,1779995687.1127384,8.988618850708008
1,chatcmpl-c299c806-e018-4e3b-a9f3-691e930a262d-a42e1613,27a16766-d861-43d6-8a84-7ce0ecba850d_dp1,0,3,1779995687.1090014,1779995687.1093965,0.39505958557128906
0,chatcmpl-de50f2f9-644e-453f-baad-2d1df9b7dfb0-a91a61e8,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,3,1779995687.1878345,1779995687.1882296,0.39505958557128906
1,chatcmpl-43f1bd96-40c8-40f4-bc01-2e79ba2eede9-8b093787,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,3,1779995687.2015376,1779995687.2019606,0.4229545593261719
0,chatcmpl-2a3c72a4-ef38-4e94-b98c-7411f9cb79e8-86c08570,27a16766-d861-43d6-8a84-7ce0ecba850d_dp1,0,20,1779995687.2539954,1779995687.2638202,9.824752807617188
1,chatcmpl-a8b88e53-b633-4a1b-bb5a-5f93f81f4b3d-b648a38a,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,12,1779995687.302531,1779995687.306176,3.6449432373046875
1,chatcmpl-834f4781-5a03-451b-a462-323692a1d910-a0f07c24,27a16766-d861-43d6-8a84-7ce0ecba850d_dp1,0,42,1779995687.3979259,1779995687.4184446,20.518779754638672
0,chatcmpl-c76cee34-19db-409c-9ee2-eb49cdc5de0d-b1b8b826,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,49,1779995687.4852905,1779995687.5055149,20.224332809448242
0,chatcmpl-350322b7-4154-4fc9-b947-fbb819368d1d-9a9ca825,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,2,1779995687.4973896,1779995687.5055535,8.163928985595703
1,chatcmpl-8e08d644-8308-4856-a0a1-80ca0d6f8273-bb4a1d7e,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,16,1779995687.76479,1779995687.7771044,12.314319610595703
0,chatcmpl-c835fbd0-d6f8-43ec-8b26-fa8932397cf4-9925c824,27a16766-d861-43d6-8a84-7ce0ecba850d_dp1,0,2,1779995687.7791588,1779995687.779465,0.30612945556640625
0,chatcmpl-4abbf1d6-7fa3-43d7-b611-91adee42282b-9f4c3ff4,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,8,1779995687.8199353,1779995687.8201652,0.22983551025390625
0,chatcmpl-b8580402-78c1-4c4e-a143-335c3eab0d0e-bfbb88cc,27a16766-d861-43d6-8a84-7ce0ecba850d_dp1,0,14,1779995687.8342328,1779995687.8398037,5.570888519287109
1,chatcmpl-05b974c3-292e-4fe8-b9d2-7f700b6dfa82-9ecdba90,27a16766-d861-43d6-8a84-7ce0ecba850d_dp0,0,26,1779995687.8841515,1779995687.8964837,12.33220100402832
