dp_rank,req_id,remote_engine,remote_rank,n_blocks,recv_start_wall,recv_done_wall,latency_ms
0,chatcmpl-67dd0c90-4f5c-444c-9972-331089de24cb-a513769c,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,2,1780019149.0167787,1780019149.0219486,5.169868469238281
1,chatcmpl-9807e2f6-cb3c-47e1-bfa5-2242d94f38b7-8a2af8e9,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,37,1780019149.1057446,1780019149.1204228,14.678239822387695
0,chatcmpl-1d64f0f5-058e-41aa-8054-8c08e18390a5-a5886fb3,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,17,1780019149.1218972,1780019149.1306744,8.777141571044922
1,chatcmpl-36e68cb0-96fc-4764-b1cd-de090560ed2c-a6e6b614,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,1,1780019149.1315641,1780019149.1318386,0.27441978454589844
0,chatcmpl-fd06b555-8aea-47e7-8d71-6f7f6c8287a0-91204dc1,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,25,1780019149.1397407,1780019149.148863,9.122371673583984
1,chatcmpl-823fe919-09db-4c02-97af-bca11969f7a0-9b42cd28,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,3,1780019149.1455224,1780019149.1458876,0.36525726318359375
0,chatcmpl-12dec2b2-daad-4656-8ea7-703cb782d16c-9ab4c3c4,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,3,1780019149.2179856,1780019149.2182412,0.255584716796875
1,chatcmpl-d251f88b-3707-4fdb-95fb-39c997c3aac5-af6634d8,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,3,1780019149.2246046,1780019149.2248738,0.26917457580566406
1,chatcmpl-00a7f0e3-7816-4484-87a8-604e768ceaf3-879e8284,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,20,1780019149.282441,1780019149.291881,9.440183639526367
0,chatcmpl-931ee8fd-4ba8-44f5-a8e2-205f9f7eca51-9f8ad3c2,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,12,1780019149.3266013,1780019149.3323932,5.791902542114258
0,chatcmpl-f65686c6-ef3f-4233-915b-746ff7abb81c-9af14bd5,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,42,1780019149.4163642,1780019149.437149,20.784854888916016
0,chatcmpl-ce4f1a3a-38b3-49fb-b584-e44fb6e270ab-a1c0e371,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,49,1780019149.5340233,1780019149.5450258,11.002540588378906
1,chatcmpl-d32ae66a-9693-4dbc-bd19-7db4c61c1bd2-aec91f07,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,2,1780019149.5389664,1780019149.5392315,0.2651214599609375
1,chatcmpl-043e21de-7d06-493b-ab3d-b0be7ded9230-94d97c76,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,16,1780019149.7998958,1780019149.8134925,13.596773147583008
0,chatcmpl-720efa78-bbfa-438a-a50a-956140dfe38f-93ee32bb,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,2,1780019149.8069654,1780019149.8072133,0.247955322265625
0,chatcmpl-d6fc5852-8bec-45f4-98fb-431554f041af-afc16daa,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,8,1780019149.8461425,1780019149.8463776,0.23508071899414062
1,chatcmpl-2c2835bc-e100-4818-8e55-734ff32008f7-ae6e8733,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,14,1780019149.8629255,1780019149.8736787,10.753154754638672
0,chatcmpl-5ee1c389-da3a-40d9-9428-d3898008fd90-af401518,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,26,1780019149.902877,1780019149.916195,13.31782341003418
1,chatcmpl-56a8b035-1e0e-4325-8730-ee873580ff7b-a02df3ca,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,27,1780019150.1713696,1780019150.1835752,12.20560073852539
0,chatcmpl-a3390a21-5af8-48ac-9eea-85704cf1dfac-a861969d,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,4,1780019150.1774695,1780019150.1777139,0.24437904357910156
0,chatcmpl-6c8cd1b5-0582-427f-b27f-4b324634f7f0-8af4f36c,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,46,1780019150.3432922,1780019150.354579,11.286735534667969
1,chatcmpl-491bbc29-b470-4b2f-a07e-804bdd93c420-98835cb7,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,2,1780019150.3474102,1780019150.3476713,0.26106834411621094
1,chatcmpl-492e58f0-b1db-499a-9e23-791d9419bff0-b4991186,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,4,1780019150.3593063,1780019150.3595748,0.2684593200683594
0,chatcmpl-6b4a399a-a606-4052-9c1d-ee8e00820724-a57ab0cc,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,5,1780019150.3681514,1780019150.3683984,0.24700164794921875
1,chatcmpl-280011a9-5f3b-4e5e-8207-8cf60797aa6d-b403d95a,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,41,1780019150.5149858,1780019150.536155,21.169185638427734
1,chatcmpl-0a992a63-8389-494a-a4cd-a8285b60dd94-968babfd,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,3,1780019150.5193303,1780019150.5361953,16.865015029907227
0,chatcmpl-08cedba1-39a6-4999-962e-08ebe092629b-af2af82a,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,2,1780019150.5478053,1780019150.548056,0.2505779266357422
1,chatcmpl-f4f1e37b-5127-4c31-a6e3-c409dd2abf8f-beda785a,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,24,1780019150.5726535,1780019150.583918,11.264562606811523
0,chatcmpl-7393123e-c70c-4f38-a0bf-740ff565dc72-a00a6558,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,2,1780019150.5769458,1780019150.577201,0.2551078796386719
1,chatcmpl-e07d8148-a837-4f07-9139-8fc7cb7eb5e9-8a0c2313,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,32,1780019150.6076672,1780019150.6217604,14.093160629272461
0,chatcmpl-7cae7933-7e29-4be9-8953-51a435dfe230-98b4de94,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,11,1780019150.6245925,1780019150.6311202,6.52766227722168
1,chatcmpl-1419c3c8-6c25-4658-8dfa-edca6b313da7-8221a479,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,1,1780019150.6411667,1780019150.6414247,0.2579689025878906
0,chatcmpl-34d83205-1cd6-4130-a068-619a30244355-b894200b,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,31,1780019150.682911,1780019150.6968975,13.986587524414062
1,chatcmpl-7f44871e-d10c-4d77-bee5-f5def0203cb9-aca41bed,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,39,1780019150.8093808,1780019150.820493,11.112213134765625
0,chatcmpl-7ac77c5d-2bcc-4c44-b48f-082527cb36a3-9ca78bb7,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,2,1780019150.8136766,1780019150.813929,0.2524852752685547
1,chatcmpl-6d44998a-6a47-4609-8866-e34c3b63202b-ad953651,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,23,1780019150.8379018,1780019150.8440902,6.188392639160156
0,chatcmpl-f9725dba-a51d-4039-8e0f-53cef7228a64-9e91ed6e,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,2,1780019150.8518796,1780019150.8522084,0.3287792205810547
0,chatcmpl-2c47d3c2-2283-4a8b-9504-4d74eb99182e-acb008b4,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,3,1780019150.8575275,1780019150.8577983,0.270843505859375
1,chatcmpl-82311fb7-7796-4e7e-adee-29ecbb84e93c-88377981,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,12,1780019150.876909,1780019150.88902,12.11094856262207
0,chatcmpl-70e3f8a9-e860-4b5a-918d-8e4c5fab4a57-8fb239c2,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,1,1780019150.9915035,1780019150.9917486,0.24509429931640625
1,chatcmpl-8c4f0fc0-19d1-42a9-a788-aee2eaadb5bb-a5e9fe55,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,27,1780019151.0590959,1780019151.0723643,13.268470764160156
1,chatcmpl-9a1cb1b2-ca27-4545-8008-940593121278-be47e856,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,1,1780019151.0720952,1780019151.0723717,0.2765655517578125
0,chatcmpl-68519227-073b-4697-ac0a-66e46aa8a3cd-91215d6d,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,27,1780019151.1353955,1780019151.151383,15.987396240234375
0,chatcmpl-ec310eb3-5050-44ab-8dcf-676b001320e9-8eb66321,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,2,1780019151.1636214,1780019151.163891,0.2696514129638672
1,chatcmpl-3abee8e8-d204-4aa5-bf53-6685b1b0ae81-917ad67b,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,23,1780019151.207425,1780019151.221802,14.37687873840332
0,chatcmpl-a2a78682-5af1-4b36-81fd-e51b26c1bff5-a7e2869f,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,5,1780019151.2080305,1780019151.2082794,0.24890899658203125
0,chatcmpl-3c6026a7-686a-42f9-9bd2-df9089db86fe-a3f2d004,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,2,1780019151.223723,1780019151.2239728,0.2498626708984375
1,chatcmpl-ed4af0fb-a066-43c6-b627-8e29b69b0394-99679c0f,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,1,1780019151.4018805,1780019151.4021506,0.2701282501220703
0,chatcmpl-822c0dcd-2173-4b60-8004-d830bc97b38b-a965f51f,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,3,1780019151.4355083,1780019151.4357588,0.2505779266357422
0,chatcmpl-e219a0a1-7caa-43f3-bbbf-94d6260e3184-80ae208e,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,47,1780019151.55383,1780019151.5661752,12.345314025878906
1,chatcmpl-edcab674-3361-4dbd-94a2-f53db9ca58f2-9e5d2b00,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,18,1780019151.6144805,1780019151.6297712,15.29073715209961
1,chatcmpl-12b9d08f-d94d-44d3-b13b-a96d9ecf6e1e-82a5033a,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,42,1780019151.6845338,1780019151.6974232,12.889385223388672
0,chatcmpl-b481b325-3713-49cf-81f1-ea0b122289e8-8611091e,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,58,1780019151.763762,1780019151.7811725,17.4105167388916
1,chatcmpl-25db683e-317f-4863-9cd1-fa1081b51113-80f7fa97,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,4,1780019151.7807555,1780019151.7810223,0.26679039001464844
0,chatcmpl-8ffa5c75-965e-4813-907e-0ed65f56cc7e-8c76a031,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,27,1780019151.7808905,1780019151.7988253,17.934799194335938
1,chatcmpl-13f9adcf-01f3-41e6-a7d7-59d4d9e6a2a6-9282322f,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,18,1780019151.8289728,1780019151.8477826,18.809795379638672
1,chatcmpl-6c105be4-2165-4ed8-b937-1137459f22af-996d8410,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp1,0,3,1780019151.8474996,1780019151.8477893,0.28967857360839844
1,chatcmpl-11480dab-d7a6-4add-98ee-f8037ea83e5c-b6ae1e9c,4fb3003a-5486-4159-b72f-acf8eb993dfa_dp0,0,4,1780019151.8585622,1780019151.858836,0.27370452880859375
