start,end,duration_ms,poll_ts,poll_slack_ms,start_time_us,start_time_raw_s,start_time_s,start_time_to_poll_ms,post_begin_to_start_time_ms,post_cpu_ms,post_duration_ms,bytes_transferred,throughput_gbps,desc_count,req,handle,role,dp,tp,pid,n_blocks,remote_engine,remote_rank,interval_source
1780280866.6984637,1780280866.7007377,2.274,1780280866.700761,0.023365020751953125,137236660130,137236.66013,1780280866.6984637,2.2974014282226562,0.012159347534179688,2.213716506958008,2.174,3145728,1.3833456464379947,192,chatcmpl-a9e93396-9561-4ea6-8428-a54327d7f38b-9a8a07b5,"nixl_xfer_handle(0x5af9a2224100, released=False)",decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280866.9094458,1780280866.9540167,44.571,1780280866.9542258,0.2090930938720703,137236871112,137236.871112,1780280866.9094458,44.78001594543457,0.0064373016357421875,34.768104553222656,34.735,26738688,0.5999122299252877,1632,chatcmpl-d3f387a0-2e6f-4b9b-b7ae-691d9522d33e-a5d524a2,"nixl_xfer_handle(0x5af9a222ca60, released=False)",decode,0,0,452715,17,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280866.9704676,1780280866.9822395,11.772,1780280866.9863791,4.13966178894043,137236932134,137236.932134,1780280866.9704676,15.911579132080078,0.00476837158203125,11.798620223999023,11.772,4718592,0.4008318042813456,288,chatcmpl-4dd7185b-a53b-4107-af3a-729cae3fb3bc-84bcea60,"nixl_xfer_handle(0x5af9a222ca60, released=False)",decode,0,0,452715,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280867.9765368,1780280868.0688727,92.336,1780280868.0688963,0.023603439331054688,137237938203,137237.938203,1780280867.9765368,92.35954284667969,0.008106231689453125,41.01991653442383,35.869,66060288,0.7154337203257668,4032,chatcmpl-9d6bda04-f38f-43c3-826f-dbbd81f4ec92-aaab65db,"nixl_xfer_handle(0x5af9a22116a0, released=False)",decode,0,0,452715,42,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.0383906,1780280868.0689297,30.539,1780280868.074048,5.118370056152344,137238000057,137238.000057,1780280868.0383906,35.657405853271484,0.00667572021484375,25.099515914916992,19.904,77070336,2.5236692753528276,4704,chatcmpl-cd61e3ce-9722-4dca-8335-6f6210692972-80de1dac,"nixl_xfer_handle(0x5af9a35c8cc0, released=False)",decode,0,0,452715,49,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.7550447,1780280868.7760198,20.975,1780280868.7760344,0.014543533325195312,137238716711,137238.716711,1780280868.7550447,20.989656448364258,0.0035762786865234375,6.097555160522461,6.08,25165824,1.199800905840286,1536,chatcmpl-f4606827-31e0-450f-bde4-3909221c3428-b3bdd1af,"nixl_xfer_handle(0x5af9a22116a0, released=False)",decode,0,0,452715,16,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.7612596,1780280868.7679515,6.692,1780280868.7760544,8.102893829345703,137238722926,137238.722926,1780280868.7612596,14.79482650756836,0.0021457672119140625,6.705045700073242,6.692,12582912,1.8802916915720262,768,chatcmpl-ecf0fab3-ae6f-4bc6-973f-2177be3b29b8-b008608b,"nixl_xfer_handle(0x5af9a35c5ca0, released=False)",decode,0,0,452715,8,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.7681746,1780280868.8308637,62.68899999999999,1780280868.830882,0.018358230590820312,137238729841,137238.729841,1780280868.7681746,62.70742416381836,0.0021457672119140625,7.579803466796875,7.567,40894464,0.652338751615116,2496,chatcmpl-b14cd252-8b3c-4d04-b36b-9a7b728bf923-b96a6c8c,"nixl_xfer_handle(0x5af9a35c6d50, released=False)",decode,0,0,452715,26,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.7907236,1780280868.8309367,40.213,1780280868.8309438,0.007152557373046875,137238752390,137238.75239,1780280868.7907236,40.22026062011719,0.0045299530029296875,6.4239501953125,6.407,42467328,1.056059682192326,2592,chatcmpl-bd6c4a48-fa96-4258-8f05-3fd51c07c1a1-a846696d,"nixl_xfer_handle(0x5af9a22116a0, released=False)",decode,0,0,452715,27,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.7974536,1780280868.8310366,33.583,1780280868.831043,0.0064373016357421875,137238759120,137238.75912,1780280868.7974536,33.58936309814453,0.003337860107421875,15.795230865478516,15.763,64487424,1.9202401214900395,3936,chatcmpl-ae85ccc2-012f-4374-9df3-1725bddd4948-85c516f6,"nixl_xfer_handle(0x5af9a35cf320, released=False)",decode,0,0,452715,41,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.8134277,1780280868.8708308,57.403000000000006,1780280868.8708436,0.012874603271484375,137238775094,137238.775094,1780280868.8134277,57.41596221923828,0.003337860107421875,2.0341873168945312,2.016,4718592,0.0822011393132763,288,chatcmpl-45b062be-8398-455d-9490-1a2b582b4f11-948f04a5,"nixl_xfer_handle(0x5af9a35ceae0, released=False)",decode,0,0,452715,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.8157136,1780280868.8312566,15.543,1780280868.8312614,0.00476837158203125,137238777380,137238.77738,1780280868.8157136,15.547752380371094,0.00286102294921875,10.866641998291016,10.838,37748736,2.4286647365373484,2304,chatcmpl-191a1054-24d3-4e1c-be54-330163b01c3e-8c0d892e,"nixl_xfer_handle(0x5af9a35ca9a0, released=False)",decode,0,0,452715,24,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.8348217,1780280868.8708727,36.051,1780280868.8708794,0.00667572021484375,137238796488,137238.796488,1780280868.8348217,36.05771064758301,0.0040531158447265625,7.441520690917969,7.423,50331648,1.3961234917200631,3072,chatcmpl-1df5e677-1355-4424-b9ef-2fd3e5aa267c-92a21260,"nixl_xfer_handle(0x5af9a35ca9a0, released=False)",decode,0,0,452715,32,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.8425567,1780280868.8709028,28.346,1780280868.8709085,0.0057220458984375,137238804223,137238.804223,1780280868.8425567,28.351783752441406,0.0030994415283203125,16.922950744628906,16.893,61341696,2.164033584985536,3744,chatcmpl-ec93a7e2-2b1c-4578-ba1c-9850a1169825-91c9dc4d,"nixl_xfer_handle(0x5af9a35cf320, released=False)",decode,0,0,452715,39,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.8597457,1780280868.8780696,18.324,1780280868.878089,0.019311904907226562,137238821412,137238.821412,1780280868.8597457,18.343210220336914,0.003814697265625,9.667396545410156,9.654,36175872,1.974234446627374,2208,chatcmpl-27bb427d-c963-4ee0-9832-fe37e1e69e8d-906490f2,"nixl_xfer_handle(0x5af9a22116a0, released=False)",decode,0,0,452715,23,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.8694627,1780280868.8781097,8.647,1780280868.878162,0.05221366882324219,137238831129,137238.831129,1780280868.8694627,8.699178695678711,0.0021457672119140625,0.41961669921875,0.41,1572864,0.18189707412975598,48,chatcmpl-f368eba0-5a74-4ebc-a342-0bb24dfa9a66-88b77b53,"nixl_xfer_handle(0x5af9a35c6d50, released=False)",decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280868.8699167,1780280868.8781748,8.258,1780280868.8782504,0.07557868957519531,137238831583,137238.831583,1780280868.8699167,8.333683013916016,0.0016689300537109375,0.3502368927001953,0.339,1572864,0.1904654880116251,48,chatcmpl-5190641e-e3c8-4218-890f-fc1b4a02a65e-b5bb81b3,"nixl_xfer_handle(0x5af9a35c8000, released=False)",decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280869.1595337,1780280869.1601288,0.5950000000000001,1780280869.2142644,54.13556098937988,137239121200,137239.1212,1780280869.1595337,54.73065376281738,0.0035762786865234375,0.6117820739746094,0.595,1572864,2.643468907563025,48,chatcmpl-ef7b4a36-0f27-4459-a2b2-3129a3f80c78-b6521fba,"nixl_xfer_handle(0x5af9a376cbc0, released=False)",decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0,nixl_start_time
1780280869.1602106,1780280869.1725526,12.342,1780280869.2142813,41.72873497009277,137239121877,137239.121877,1780280869.1602106,54.07071113586426,0.002384185791015625,12.368440628051758,12.342,4718592,0.38231988332523087,288,chatcmpl-ac39b9f5-752c-4413-8614-0d48b4c9346f-8cac5adc,"nixl_xfer_handle(0x5af9a35e8f40, released=False)",decode,0,0,452715,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280869.1727376,1780280869.1732926,0.555,1780280869.2142916,40.99893569946289,137239134404,137239.134404,1780280869.1727376,41.55397415161133,0.0040531158447265625,0.568389892578125,0.555,1572864,2.833989189189189,48,chatcmpl-953bc72c-7336-4465-b353-fd3437d808d3-acfc2295,"nixl_xfer_handle(0x5af9a35f8c00, released=False)",decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280869.1735156,1780280869.2143896,40.874,1780280869.2144008,0.011205673217773438,137239135182,137239.135182,1780280869.1735156,40.885210037231445,0.0030994415283203125,5.552768707275391,5.523,39321600,0.9620198659294417,2400,chatcmpl-a0ef5d4b-8a4a-4c3d-92f4-602fa8d01c4f-a8781114,"nixl_xfer_handle(0x5af9a35c6d50, released=False)",decode,0,0,452715,25,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280869.1791856,1780280869.2144365,35.251,1780280869.2144835,0.04696846008300781,137239140852,137239.140852,1780280869.1791856,35.29787063598633,0.003337860107421875,1.720428466796875,1.704,3145728,0.08923797906442371,192,chatcmpl-866fc6c5-9f16-4836-8271-207e66c427e9-807e8b35,"nixl_xfer_handle(0x5af9a22116a0, released=False)",decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280869.1809726,1780280869.2145677,33.595,1780280869.2145734,0.0057220458984375,137239142639,137239.142639,1780280869.1809726,33.600807189941406,0.0021457672119140625,1.3968944549560547,1.386,3145728,0.09363679118916506,192,chatcmpl-9153932e-2128-427e-9824-f2996c775f41-9582d29d,"nixl_xfer_handle(0x5af9a35cf320, released=False)",decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280869.1825776,1780280869.2146556,32.078,1780280869.2146623,0.00667572021484375,137239144244,137239.144244,1780280869.1825776,32.08470344543457,0.0019073486328125,19.78445053100586,19.773,72351744,2.255494232807531,4416,chatcmpl-595565f4-4c36-4efe-958d-ab8fb79898b9-bae39abc,"nixl_xfer_handle(0x5af9a35ca9a0, released=False)",decode,0,0,452715,46,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
1780280869.1958897,1780280869.3342297,138.34,1780280869.3343174,0.087738037109375,137239157556,137239.157556,1780280869.1958897,138.427734375,0.016927719116210938,54.669857025146484,54.596,58195968,0.4206734711580165,3552,chatcmpl-3406912f-76b2-47fe-8bb6-aec86436dada-b0b655dd,"nixl_xfer_handle(0x556336e80200, released=False)",decode,1,0,452712,37,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0,nixl_start_time
