ev,ts,start,end,duration_ms,role,dp,tp,pid,phase,overlap_ms,overlap_ratio,max_active_recv,n_recv,n_send,n_in_batch,n_sched,n_reqs
bookkeeping_start,1780281084.1305296,1780281084.1305296,1780281084.1306436,0.11396408081054688,decode,1,0,452712,bookkeeping,0.11396408081054688,1.0,1,,,,,
bookkeeping_start,1780281084.1336758,1780281084.1336758,1780281084.1337845,0.1087188720703125,decode,0,0,452715,bookkeeping,0.1087188720703125,1.0,1,,,,,
bookkeeping_start,1780281084.1425898,1780281084.1425898,1780281084.1427052,0.11539459228515625,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.1427875,1780281084.1427875,1780281084.1428852,0.09775161743164062,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.1546319,1780281084.1546319,1780281084.154745,0.11324882507324219,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.1546953,1780281084.1546953,1780281084.1547933,0.09799003601074219,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.1669586,1780281084.1669586,1780281084.1670687,0.11014938354492188,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.1669834,1780281084.1669834,1780281084.1670718,0.08845329284667969,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.1787934,1780281084.1787934,1780281084.1788805,0.08702278137207031,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.1789062,1780281084.1789062,1780281084.1790214,0.11515617370605469,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.1909757,1780281084.1909757,1780281084.1910634,0.087738037109375,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.1909883,1780281084.1909883,1780281084.191098,0.10967254638671875,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.203505,1780281084.203505,1780281084.2035902,0.08511543273925781,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2035925,1780281084.2035925,1780281084.2037086,0.11610984802246094,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2156596,1780281084.2156596,1780281084.2157488,0.08916854858398438,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2156997,1780281084.2156997,1780281084.2158165,0.11682510375976562,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2282012,1780281084.2282012,1780281084.228315,0.11396408081054688,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2282374,1780281084.2282374,1780281084.2283332,0.09584426879882812,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.240123,1780281084.240123,1780281084.2402391,0.11610984802246094,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2401676,1780281084.2401676,1780281084.240268,0.10037422180175781,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2523096,1780281084.2523096,1780281084.252443,0.133514404296875,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2523687,1780281084.2523687,1780281084.252482,0.11324882507324219,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.265121,1780281084.265121,1780281084.2652323,0.11134147644042969,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2651434,1780281084.2651434,1780281084.2652388,0.095367431640625,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2766557,1780281084.2766557,1780281084.2767699,0.11420249938964844,decode,1,0,452712,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2766707,1780281084.2766707,1780281084.2767696,0.09894371032714844,decode,0,0,452715,bookkeeping,0.0,0.0,0,,,,,
bookkeeping_start,1780281084.2890778,1780281084.2890778,1780281084.2891884,0.110626220703125,decode,1,0,452712,bookkeeping,0.110626220703125,1.0,1,,,,,
bookkeeping_start,1780281084.303386,1780281084.303386,1780281084.3034704,0.08440017700195312,decode,0,0,452715,bookkeeping,0.08440017700195312,1.0,1,,,,,
bookkeeping_start,1780281084.3059158,1780281084.3059158,1780281084.3059976,0.08177757263183594,decode,0,0,452715,bookkeeping,0.08177757263183594,1.0,1,,,,,
bookkeeping_start,1780281084.3059702,1780281084.3059702,1780281084.3060796,0.10943412780761719,decode,1,0,452712,bookkeeping,0.10943412780761719,1.0,1,,,,,
