start,end,duration_ms,req,role,dp,tp,pid,n_blocks,remote_engine,remote_rank
1780281084.1326823,1780281084.142192,9.509563446044922,chatcmpl-99337ff0-588f-4dbe-835c-91bc829c01a7-ba91497e,decode,0,0,452715,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281084.302288,1780281084.316733,14.444828033447266,chatcmpl-ad2dfc71-6ea4-4f93-b913-07a7f6af7928-acff3ac2,decode,0,0,452715,49,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281084.3768697,1780281084.3914158,14.54615592956543,chatcmpl-ee58779b-538b-43bb-a004-5cc51ffe4021-bb631bf1,decode,0,0,452715,45,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281084.4508288,1780281084.47021,19.381284713745117,chatcmpl-11522057-1d1b-4732-9f59-feee82953a4b-91206a04,decode,0,0,452715,37,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281084.4698958,1780281084.4784489,8.553028106689453,chatcmpl-7eb5c362-12ac-4ceb-8f0a-7f92fd8ed899-a841add6,decode,0,0,452715,6,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281084.5603573,1780281084.5755138,15.15650749206543,chatcmpl-9026e795-5a61-42f1-b9d9-53b83fc0abf4-bf96dfaf,decode,0,0,452715,26,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281084.5879688,1780281084.6001146,12.145757675170898,chatcmpl-b2e82408-c1e5-418f-977f-39c929951743-816a22fb,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281084.6458676,1780281084.6611547,15.287160873413086,chatcmpl-70676b91-453d-4d4c-8801-a1d0c255123f-9e30a5bd,decode,0,0,452715,29,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281084.714584,1780281084.7295694,14.985322952270508,chatcmpl-198df1bc-d788-4d9a-bae5-086bec0205f0-aebb42be,decode,0,0,452715,10,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281084.7559097,1780281084.7665782,10.668516159057617,chatcmpl-3a1d2936-67b1-4baf-bad7-9d04926e781c-b403ef6d,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281084.8215466,1780281084.828388,6.841421127319336,chatcmpl-9186e4b3-3f51-46fd-a9e2-592d7f4e5c14-81c90da4,decode,0,0,452715,6,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281084.9242644,1780281084.9277437,3.4792423248291016,chatcmpl-1a103e3f-ddd1-4615-b3e1-296fc9482667-a55bd1ba,decode,0,0,452715,24,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281085.1106818,1780281085.1257656,15.083789825439453,chatcmpl-705b0dc6-d443-4438-a70b-c7324f35fc42-86e4586b,decode,0,0,452715,39,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281085.1204672,1780281085.1383011,17.833948135375977,chatcmpl-755c34f3-7da7-4236-8d58-ea1844a90cfe-a7acfdbe,decode,0,0,452715,12,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281085.2133965,1780281085.2239916,10.595083236694336,chatcmpl-ebfa8218-e104-4bd0-a662-d29df860c667-b5c227d8,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281085.3486178,1780281085.3591256,10.507822036743164,chatcmpl-d737250d-e4de-4b63-a47d-e128f461ad6e-9a096096,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281085.38747,1780281085.3959594,8.489370346069336,chatcmpl-c9e86360-e995-4004-b5aa-971a11287398-aaef64ad,decode,0,0,452715,17,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281085.4099329,1780281085.421112,11.179208755493164,chatcmpl-af6318e3-fb12-4956-8157-40b8b34f8e12-83ca1872,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281085.6348908,1780281085.642381,7.4901580810546875,chatcmpl-6b9c90ac-a3a1-47b8-a7d7-7cb82d400f10-bf5ebdd9,decode,0,0,452715,5,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
