ev,ts,n_sched,n_reqs,n_tokens_unpadded,n_tokens_padded,cudagraph_mode,start,end,duration_ms,role,dp,tp,pid,overlap_ms,overlap_ratio,max_active_recv
forward_start,1780280964.128901,50,50,50,56,FULL,1780280964.128901,1780280964.1290877,0.18668174743652344,decode,1,0,452712,0.0,0.0,0
forward_start,1780280964.1289256,52,52,52,56,FULL,1780280964.1289256,1780280964.1291966,0.27108192443847656,decode,0,0,452715,0.0,0.0,0
forward_start,1780280964.1408339,50,50,50,56,FULL,1780280964.1408339,1780280964.14102,0.1862049102783203,decode,1,0,452712,0.0,0.0,0
forward_start,1780280964.1408403,52,52,52,56,FULL,1780280964.1408403,1780280964.1411119,0.2715587615966797,decode,0,0,452715,0.0,0.0,0
forward_start,1780280964.1530132,50,50,50,56,FULL,1780280964.1530132,1780280964.1531997,0.18644332885742188,decode,1,0,452712,0.0,0.0,0
forward_start,1780280964.1530151,52,52,52,56,FULL,1780280964.1530151,1780280964.1532838,0.26869773864746094,decode,0,0,452715,0.0,0.0,0
forward_start,1780280964.165162,52,52,52,56,FULL,1780280964.165162,1780280964.165454,0.2918243408203125,decode,0,0,452715,0.0,0.0,0
forward_start,1780280964.165184,50,50,50,56,FULL,1780280964.165184,1780280964.1653907,0.2067089080810547,decode,1,0,452712,0.0,0.0,0
forward_start,1780280964.1777093,49,49,49,56,FULL,1780280964.1777093,1780280964.1778965,0.18715858459472656,decode,1,0,452712,0.0,0.0,0
forward_start,1780280964.1777291,52,52,52,56,FULL,1780280964.1777291,1780280964.178004,0.27489662170410156,decode,0,0,452715,0.0,0.0,0
forward_start,1780280964.1898115,52,52,52,56,FULL,1780280964.1898115,1780280964.1900833,0.27179718017578125,decode,0,0,452715,0.0,0.0,0
forward_start,1780280964.1898305,49,49,49,56,FULL,1780280964.1898305,1780280964.1900213,0.19073486328125,decode,1,0,452712,0.0,0.0,0
forward_start,1780280964.2019434,49,49,49,56,FULL,1780280964.2019434,1780280964.2021306,0.18715858459472656,decode,1,0,452712,0.0,0.0,0
forward_start,1780280964.201959,52,52,52,56,FULL,1780280964.201959,1780280964.2022288,0.26988983154296875,decode,0,0,452715,0.0,0.0,0
forward_start,1780280964.2146754,49,49,49,56,FULL,1780280964.2146754,1780280964.2148678,0.19240379333496094,decode,1,0,452712,0.0,0.0,0
forward_start,1780280964.2146845,52,52,52,56,FULL,1780280964.2146845,1780280964.2149603,0.2758502960205078,decode,0,0,452715,0.0,0.0,0
forward_start,1780280964.2267704,49,49,49,56,FULL,1780280964.2267704,1780280964.2269573,0.186920166015625,decode,1,0,452712,0.0,0.0,0
forward_start,1780280964.2267733,52,52,52,56,FULL,1780280964.2267733,1780280964.227047,0.27370452880859375,decode,0,0,452715,0.0,0.0,0
forward_start,1780280964.2388055,52,52,52,56,FULL,1780280964.2388055,1780280964.239074,0.2684593200683594,decode,0,0,452715,0.0,0.0,0
forward_start,1780280964.2388806,49,49,49,56,FULL,1780280964.2388806,1780280964.2390666,0.18596649169921875,decode,1,0,452712,0.0,0.0,0
