start,end,duration_ms,req,role,dp,tp,pid,n_blocks,remote_engine,remote_rank
1780281024.1281998,1780281024.1351757,6.975889205932617,chatcmpl-9f92a780-b9d6-4a75-9e4c-fcb4d2d8aa4b-b9054241,decode,0,0,452715,8,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281024.2221978,1780281024.2225015,0.3037452697753906,chatcmpl-d4c6617d-c1c6-48d0-ada0-cfd8cd259833-88fcd7eb,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281024.3346884,1780281024.3413892,6.700754165649414,chatcmpl-6d2b54ad-05a5-45d3-8254-6dad1d20c410-b02233a2,decode,0,0,452715,13,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281024.4131556,1780281024.4280756,14.91999626159668,chatcmpl-0442f31b-bf23-42d5-9611-2588dde7bbbc-af269f8d,decode,0,0,452715,8,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281024.4855359,1780281024.500793,15.257120132446289,chatcmpl-3e24f885-c499-4e36-8227-7d32c72edf78-9dc8de55,decode,0,0,452715,28,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281024.6754804,1780281024.6841688,8.68844985961914,chatcmpl-245257bd-7955-4045-8e0a-b8f545a9f41f-a8383f9f,decode,0,0,452715,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281024.7723467,1780281024.7822266,9.879827499389648,chatcmpl-505ecfb9-c8aa-4717-a7e8-29e07fcbc6d2-81e5d4b5,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281024.8148732,1780281024.8311849,16.3116455078125,chatcmpl-307739f1-a707-45c1-97e4-8f074330dae4-a3214f39,decode,0,0,452715,26,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281024.862556,1780281024.8686292,6.073236465454102,chatcmpl-5468b7c2-5016-4c3e-88d8-e1c943e1daaa-b266ff20,decode,0,0,452715,6,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281024.931231,1780281024.9546385,23.407459259033203,chatcmpl-44cab84f-12e8-45b5-ad7f-3c0875f9be7a-aee64882,decode,0,0,452715,9,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281024.954258,1780281024.9708276,16.56961441040039,chatcmpl-7debdc43-821b-4034-9a3f-d440435fc062-b7c44a70,decode,0,0,452715,25,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281025.054948,1780281025.0551937,0.24557113647460938,chatcmpl-fbdb3064-b279-422a-89d9-1afa04cb5611-997755ee,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281025.1342714,1780281025.1380608,3.7894248962402344,chatcmpl-c5f8425c-2e40-4027-92f8-53bd116a53cc-80b45bc9,decode,0,0,452715,19,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281025.208719,1780281025.2243762,15.657186508178711,chatcmpl-d9b9b0a4-9a15-43fd-9a20-25062a8f94d8-aeea432f,decode,0,0,452715,34,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281025.2192385,1780281025.2244582,5.219697952270508,chatcmpl-607163ab-38ce-4255-9f90-1db4e2555523-9bd0a656,decode,0,0,452715,15,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281025.2995644,1780281025.3097591,10.194778442382812,chatcmpl-0d0caf1e-a21c-4511-8291-882012c33a95-8d6eb85c,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281025.4699678,1780281025.4703465,0.37860870361328125,chatcmpl-25646cbf-28a6-4eac-a6fb-c00f5832056b-8bdb831e,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281025.6404052,1780281025.6565526,16.147375106811523,chatcmpl-6752b41a-e631-4198-a869-b94060d0ac91-b2842889,decode,0,0,452715,28,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281025.7297337,1780281025.7445886,14.854907989501953,chatcmpl-fc61ebdb-5a88-4641-9689-63526b8dd750-bdac2361,decode,0,0,452715,49,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281025.8150723,1780281025.840139,25.066614151000977,chatcmpl-670ff538-2967-4c42-a62b-3dc00ec4e2ec-8893400d,decode,0,0,452715,34,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281025.8243158,1780281025.8401856,15.869855880737305,chatcmpl-0a2f63af-3321-4a92-9204-9a44a0f11eb6-a6122fa0,decode,0,0,452715,27,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281025.839773,1780281025.840266,0.49304962158203125,chatcmpl-da0edb1b-d8d9-4b18-834c-b9f56d88c9b1-9b0a380d,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281025.9458237,1780281025.9605258,14.702081680297852,chatcmpl-1ee86d2c-e86c-4eef-843c-b408ccfe299a-ae8ddcda,decode,0,0,452715,41,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281025.9745743,1780281025.984992,10.417699813842773,chatcmpl-dc20c794-55c9-4371-b9e4-66b56b8429ce-839a48ec,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281026.0053751,1780281026.021045,15.669822692871094,chatcmpl-765c68a4-3760-4b3b-89c6-2e43bfd78336-abae7f58,decode,0,0,452715,26,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281026.0591326,1780281026.0692623,10.129690170288086,chatcmpl-1ab2954b-737f-4694-a5b5-df016827d648-a91d4427,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780281026.095635,1780281026.095893,0.2579689025878906,chatcmpl-af0e35db-b93c-4339-804e-7c6c0182bd89-b7f25530,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780281026.1949813,1780281026.2018661,6.88481330871582,chatcmpl-dcc497ed-c228-490c-9474-c303170d9bde-b7a643cb,decode,0,0,452715,5,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
