window,label,phase,no_p99,ge2_p90,ge2_p99,ge2_n
early_120,early +120s,kv_start_load,0.02736568450927728,10.573387145996094,94.77469921112046,356
early_120,early +120s,kv_get_finished,0.08855342864990236,0.20599365234375,0.95934867858887,321
early_120,early +120s,sample,0.5198669433593749,0.40528774261474615,0.751950740814209,182
early_120,early +120s,bookkeeping,0.17385482788085932,0.1590251922607422,0.19855499267578092,181
mid_180,mid +180s,kv_start_load,0.01871585845947287,8.35728645324707,23.32482337951658,521
mid_180,mid +180s,kv_get_finished,0.06844520568847655,0.1462221145629883,0.30594825744628906,470
mid_180,mid +180s,sample,0.3489708900451657,0.3415346145629883,0.45937061309814453,264
mid_180,mid +180s,bookkeeping,0.15664100646972656,0.13637542724609375,0.1494455337524414,260
mid_240,mid +240s,kv_start_load,0.020079612731933656,9.396862983703613,18.021979331970112,772
mid_240,mid +240s,kv_get_finished,0.0602030754089356,0.16193389892578125,0.3538036346435546,725
mid_240,mid +240s,sample,0.31283378601074197,0.3919839859008789,0.4751086235046388,434
mid_240,mid +240s,bookkeeping,0.1571178436279297,0.1685619354248047,0.2379131317138668,429
mid_300,mid +300s,kv_start_load,0.0171661376953125,9.410858154296875,20.29933929443359,911
mid_300,mid +300s,kv_get_finished,0.04935264587402344,0.15714168548583984,0.31185388565063465,910
mid_300,mid +300s,sample,0.3235435485839846,0.3920078277587891,0.4806423187255854,545
mid_300,mid +300s,bookkeeping,0.17829179763793912,0.1704692840576172,0.2304434776306152,536
late_360,late +360s,kv_start_load,0.024080276489257812,9.383821487426754,23.905506134033217,509
late_360,late +360s,kv_get_finished,0.04901647567749027,0.14176368713378906,0.27496576309204135,528
late_360,late +360s,sample,0.47366619110107416,0.3851652145385742,0.4946517944335936,298
late_360,late +360s,bookkeeping,0.175633430480957,0.1904010772705079,0.2150440216064453,295
