start,end,duration_ms,req,role,dp,tp,pid,n_blocks,remote_engine,remote_rank
1780280866.700678,1780280866.7007825,0.10442733764648438,chatcmpl-a9e93396-9561-4ea6-8428-a54327d7f38b-9a8a07b5,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280866.944215,1780280866.9542446,10.02955436706543,chatcmpl-d3f387a0-2e6f-4b9b-b7ae-691d9522d33e-a5d524a2,decode,0,0,452715,17,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280866.982269,1780280866.9863927,4.123687744140625,chatcmpl-4dd7185b-a53b-4107-af3a-729cae3fb3bc-84bcea60,decode,0,0,452715,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.0175602,1780280868.068913,51.352739334106445,chatcmpl-9d6bda04-f38f-43c3-826f-dbbd81f4ec92-aaab65db,decode,0,0,452715,42,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.063494,1780280868.0740569,10.562896728515625,chatcmpl-cd61e3ce-9722-4dca-8335-6f6210692972-80de1dac,decode,0,0,452715,49,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.7611432,1780280868.7760475,14.904260635375977,chatcmpl-f4606827-31e0-450f-bde4-3909221c3428-b3bdd1af,decode,0,0,452715,16,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.7679672,1780280868.7760582,8.090972900390625,chatcmpl-ecf0fab3-ae6f-4bc6-973f-2177be3b29b8-b008608b,decode,0,0,452715,8,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.7757561,1780280868.830895,55.13882637023926,chatcmpl-b14cd252-8b3c-4d04-b36b-9a7b728bf923-b96a6c8c,decode,0,0,452715,26,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.7971478,1780280868.830951,33.80322456359863,chatcmpl-bd6c4a48-fa96-4258-8f05-3fd51c07c1a1-a846696d,decode,0,0,452715,27,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.813256,1780280868.8310497,17.793655395507812,chatcmpl-ae85ccc2-012f-4374-9df3-1725bddd4948-85c516f6,decode,0,0,452715,41,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.8265874,1780280868.8312685,4.681110382080078,chatcmpl-191a1054-24d3-4e1c-be54-330163b01c3e-8c0d892e,decode,0,0,452715,24,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.815464,1780280868.8708537,55.3896427154541,chatcmpl-45b062be-8398-455d-9490-1a2b582b4f11-948f04a5,decode,0,0,452715,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.842265,1780280868.8708858,28.62095832824707,chatcmpl-1df5e677-1355-4424-b9ef-2fd3e5aa267c-92a21260,decode,0,0,452715,32,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.8594866,1780280868.8709147,11.428117752075195,chatcmpl-ec93a7e2-2b1c-4578-ba1c-9850a1169825-91c9dc4d,decode,0,0,452715,39,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.8694134,1780280868.8781018,8.68844985961914,chatcmpl-27bb427d-c963-4ee0-9832-fe37e1e69e8d-906490f2,decode,0,0,452715,23,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.869884,1780280868.878168,8.28409194946289,chatcmpl-f368eba0-5a74-4ebc-a342-0bb24dfa9a66-88b77b53,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280868.8702693,1780280868.8782544,7.985115051269531,chatcmpl-5190641e-e3c8-4218-890f-fc1b4a02a65e-b5bb81b3,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280869.1601465,1780280869.2142746,54.128170013427734,chatcmpl-ef7b4a36-0f27-4459-a2b2-3129a3f80c78-b6521fba,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280869.1725848,1780280869.2142863,41.701555252075195,chatcmpl-ac39b9f5-752c-4413-8614-0d48b4c9346f-8cac5adc,decode,0,0,452715,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.173306,1780280869.214295,40.988922119140625,chatcmpl-953bc72c-7336-4465-b353-fd3437d808d3-acfc2295,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.179075,1780280869.214409,35.334110260009766,chatcmpl-a0ef5d4b-8a4a-4c3d-92f4-602fa8d01c4f-a8781114,decode,0,0,452715,25,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.1809075,1780280869.2144887,33.58125686645508,chatcmpl-866fc6c5-9f16-4836-8271-207e66c427e9-807e8b35,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.1823711,1780280869.214578,32.20677375793457,chatcmpl-9153932e-2128-427e-9824-f2996c775f41-9582d29d,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.2023637,1780280869.2146714,12.30764389038086,chatcmpl-595565f4-4c36-4efe-958d-ab8fb79898b9-bae39abc,decode,0,0,452715,46,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.2054434,1780280869.214708,9.264707565307617,chatcmpl-a618f791-806a-4013-a502-f696e519f622-a37fc21d,decode,0,0,452715,4,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.2075188,1780280869.2147386,7.219791412353516,chatcmpl-059f37a5-342e-45d0-a116-91fa08f0d437-81ce4731,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.2077982,1780280869.214834,7.035732269287109,chatcmpl-7cc25318-6934-4a33-a274-a7c173ab0af8-98f26fd3,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.2091331,1780280869.2149134,5.780220031738281,chatcmpl-efde6dc4-c3b9-4d80-aec5-0fedac59d832-882975d4,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.210544,1780280869.3620272,151.48305892944336,chatcmpl-cdfb0e97-557e-41ba-b396-e545df4c320a-bbc8d754,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280869.214023,1780280869.3620608,148.03767204284668,chatcmpl-7efe3098-14de-4cc1-87fd-8f6b7d2bbf74-a8a6724f,decode,0,0,452715,5,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280870.5747163,1780280870.6473627,72.6463794708252,chatcmpl-5f7062ce-06e5-4fbc-a3ac-e3532b1ae799-b90bb400,decode,0,0,452715,47,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280870.583457,1780280870.64745,63.992977142333984,chatcmpl-acd6b853-8e25-407c-b52b-1d2d2d19255a-a2600a83,decode,0,0,452715,18,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280870.6037154,1780280870.6475036,43.78819465637207,chatcmpl-2e4d2fbc-6c29-43fa-8091-93040d1f4180-8062703e,decode,0,0,452715,42,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280870.6273592,1780280870.6475604,20.20120620727539,chatcmpl-9abd3231-cb3c-4e10-aead-d1029ad350e6-99ef899c,decode,0,0,452715,58,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
