start,end,duration_ms,req,role,dp,tp,pid,n_blocks,remote_engine,remote_rank
1780280904.1965268,1780280904.2120023,15.47551155090332,chatcmpl-f2162534-8139-477f-963e-1fdf40d0009f-b5a056cd,decode,0,0,452715,57,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280904.4035335,1780280904.4107373,7.203817367553711,chatcmpl-9d17e86b-94ad-4d6d-bd59-14a7ea429eb4-88d2faf2,decode,0,0,452715,24,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280904.5373428,1780280904.5377192,0.3764629364013672,chatcmpl-b352f40f-7ce4-4ec3-a152-d6d807099f6d-92d324f7,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280904.739214,1780280904.7397707,0.5567073822021484,chatcmpl-4169dce3-8ad3-4189-ac34-6462484abb90-9a7c753d,decode,0,0,452715,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280904.8421059,1780280904.8616734,19.567489624023438,chatcmpl-69da7969-ae07-4a94-a1d7-b0a97aab54ed-b5b04ac8,decode,0,0,452715,26,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280904.916962,1780280904.9173126,0.35071372985839844,chatcmpl-8580acb8-ed8c-4151-bfc3-4190d9788d84-98f76b9c,decode,0,0,452715,6,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280905.1167448,1780280905.125119,8.374214172363281,chatcmpl-1ca48ee8-c739-4fec-a3ea-ed432860f090-ad0b1846,decode,0,0,452715,20,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280905.2158258,1780280905.2161674,0.34165382385253906,chatcmpl-cb485a16-748d-409d-8d44-24c41ed7857d-91f4f705,decode,0,0,452715,3,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280905.3075867,1780280905.3079472,0.3604888916015625,chatcmpl-4fa66dbd-96f9-4c58-9e3e-585f0a6c0945-beb49ffe,decode,0,0,452715,6,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280905.4578967,1780280905.4764307,18.533945083618164,chatcmpl-b4c32ff8-0391-4af5-8833-1c14a4408d78-9e5d514a,decode,0,0,452715,36,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280905.5814042,1780280905.5966194,15.215158462524414,chatcmpl-52c80ff6-b0ef-4ae3-8995-e8569be1e677-9bc9509f,decode,0,0,452715,49,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
