start,end,duration_ms,req,role,dp,tp,pid,n_blocks,remote_engine,remote_rank
1780280964.265668,1780280964.2660558,0.3879070281982422,chatcmpl-6a82de0d-2f62-4a9a-b606-3606bd30f174-a89e33d4,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280964.3008876,1780280964.3012295,0.3418922424316406,chatcmpl-23e26d02-f6b1-416f-9035-5d11585fb8b1-8349479d,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280964.5716083,1780280964.5718668,0.25844573974609375,chatcmpl-efc3ae3d-f393-4209-a45d-7b836a405f27-80225dff,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280964.760198,1780280964.7748566,14.658451080322266,chatcmpl-e58583d9-ae0d-4f95-8c5d-cae21cae8515-814b18e0,decode,0,0,452715,35,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280964.7743242,1780280964.7895303,15.206098556518555,chatcmpl-1468c29f-c934-4044-9cf2-504daab506f9-917f45e5,decode,0,0,452715,10,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280964.8030908,1780280964.8033762,0.2853870391845703,chatcmpl-0d3bcb46-18a0-481c-9702-31c34e905606-9b93d7c5,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280964.996396,1780280965.011828,15.431880950927734,chatcmpl-4fd3a3f0-afa9-4099-b0b0-e79a73536ad9-a5a4a7d0,decode,0,0,452715,49,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280965.062422,1780280965.0626845,0.2624988555908203,chatcmpl-6ef3bae0-108e-454c-a9a0-12819aee1a83-bda85bb7,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280965.2146418,1780280965.220726,6.084203720092773,chatcmpl-3adb597f-b160-4f15-b175-9fc89295e44a-b5494d7c,decode,0,0,452715,17,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280965.3704574,1780280965.37075,0.2925395965576172,chatcmpl-c7825594-efc3-48fc-9f55-409c30f69961-a747cf6d,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280965.473852,1780280965.491714,17.86208152770996,chatcmpl-73b28112-db11-4edd-aaaf-5454ff5c858c-81c9f672,decode,0,0,452715,25,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280965.5907261,1780280965.612095,21.368980407714844,chatcmpl-2a7bead4-c802-49ce-bceb-34615af806f3-9a0750dc,decode,0,0,452715,31,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280965.6006644,1780280965.6200752,19.41084861755371,chatcmpl-37ab1b8f-05ed-48f9-b2b8-8245ca27919b-858640a2,decode,0,0,452715,19,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280965.611646,1780280965.6201282,8.482217788696289,chatcmpl-0481e5a1-0d6f-4241-b2dd-c9ce8d755c0f-95203836,decode,0,0,452715,20,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280965.8098593,1780280965.8305519,20.69258689880371,chatcmpl-1aed21fc-727a-4c3a-aacd-e8013f58aea8-b31815fe,decode,0,0,452715,35,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280965.9945157,1780280966.010159,15.64335823059082,chatcmpl-d26b2a1d-0f82-415a-8a1b-93306961c11b-8e833fa1,decode,0,0,452715,37,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280966.0095425,1780280966.0287464,19.203901290893555,chatcmpl-ba52e5cf-d284-48c7-9e1e-e00c6aa96633-93fa0270,decode,0,0,452715,7,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280966.028334,1780280966.028763,0.4291534423828125,chatcmpl-cc1468ec-a582-4be9-b485-c8abd83f748e-9e5ada67,decode,0,0,452715,2,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280966.35658,1780280966.3570082,0.42819976806640625,chatcmpl-93f53e72-f74e-446c-9ae3-e4f2b7348c93-8f63284d,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280966.6401353,1780280966.6405327,0.3974437713623047,chatcmpl-baec1e9f-0502-4e90-8915-0a54202433f6-931c865b,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280966.8846738,1780280966.8850815,0.4076957702636719,chatcmpl-5314d278-5874-4920-b07a-453a4e6dd503-959080ff,decode,0,0,452715,1,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280966.9413164,1780280966.9416888,0.3724098205566406,chatcmpl-2ebbb306-6633-402a-b69a-76822e9689b8-a3f5a7a3,decode,0,0,452715,8,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280967.0599997,1780280967.0798354,19.835710525512695,chatcmpl-61655594-c896-45ce-a5cd-594d1928c9cc-966abf85,decode,0,0,452715,27,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp0,0
1780280967.108469,1780280967.1159818,7.512807846069336,chatcmpl-3b27b960-c3cb-4c97-936d-1726d387b1d9-81629b40,decode,0,0,452715,20,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
1780280967.2789996,1780280967.288973,9.973526000976562,chatcmpl-da53ae09-f537-49e1-af0c-e3b1e6b81668-8ae3d753,decode,0,0,452715,17,d61968e8-e4aa-43a2-8ca8-85b623ffd1e5_dp1,0
